Date,Open,High,Low,Close,Adj Close,Volume
29-05-2023,2326.88208,2335.189209,2314.144775,2326.512939,2310.481689,5005152
26-05-2023,2268.733154,2315.806152,2262.041504,2313.498779,2297.557373,6313130
25-05-2023,2246.489014,2260.42627,2230.013428,2252.072998,2236.554932,5743931
24-05-2023,2257.564941,2274.27124,2246.073486,2252.349854,2236.829834,4056127
23-05-2023,2271.179199,2277.963135,2262.6875,2265.548828,2249.937744,3046017
22-05-2023,2247.50415,2276.117188,2245.05835,2265.964111,2250.350098,3717453
19-05-2023,2246.627441,2257.611084,2232.597656,2253.918945,2238.387939,4025223
18-05-2023,2260.933838,2267.810303,2240.258545,2246.627441,2231.146729,5262765
17-05-2023,2273.348145,2275.194092,2241.966309,2251.473145,2235.958984,4399483
16-05-2023,2301.961182,2307.129883,2261.487549,2264.856689,2249.250244,4358614
15-05-2023,2298.177002,2311.69873,2282.716553,2297.576904,2281.745361,3416671
12-05-2023,2279.624512,2295.869385,2267.348633,2293.054199,2277.253662,3477670
11-05-2023,2306.530029,2316.267578,2285.854736,2289.316162,2273.541504,5278930
10-05-2023,2298.269287,2307.36084,2290.146729,2304.361084,2288.482666,5436127
09-05-2023,2284.424316,2295.315674,2273.578857,2288.623779,2272.85376,3232360
08-05-2023,2261.349121,2292.408203,2255.949707,2281.562988,2265.841553,4576891
05-05-2023,2253.042236,2271.825195,2248.427246,2253.734375,2238.204834,4373292
04-05-2023,2234.720703,2263.979736,2228.675049,2259.503174,2243.933838,4317616
03-05-2023,2256.734131,2256.734131,2227.244385,2233.751465,2218.359619,3530936
02-05-2023,2248.611816,2257.472656,2241.135498,2253.088379,2237.563232,6490902
28-04-2023,2198.585205,2237.259033,2198.354492,2234.120605,2218.726318,7782605
27-04-2023,2192.124268,2200.431152,2181.971191,2194.016357,2178.898193,4583562
26-04-2023,2195.816162,2202.369629,2172.787354,2180.217529,2165.19458,4308917
25-04-2023,2183.817139,2197.292969,2169.510742,2193.093262,2177.981445,4618063
24-04-2023,2192.124268,2197.569824,2167.203125,2176.43335,2161.436279,6468093
21-04-2023,2169.64917,2179.202148,2156.496338,2168.126221,2153.186523,3823658
20-04-2023,2172.833496,2177.356201,2152.527588,2165.40332,2150.482422,3503665
19-04-2023,2158.942383,2176.34082,2152.619873,2170.895264,2155.936523,6136737
18-04-2023,2193.970215,2193.970215,2146.897217,2160.142334,2145.257568,5202788
